,method,Test Accuracy
0,AdaBoost,0.6475681556169438
1,"Assembly symbols 5, features 200, CNN l2",0.817773337466271
2,"Assembly symbols 5, features 200, CNN l3",0.8187143187033058
3,"Assembly symbols 5, features 200, Transformer l2",0.8065344400801914
4,"Assembly symbols 5, features 200, Transformer l3",0.806491084235035
5,"Assembly symbols 9, features 200, CNN l2",0.819111796304456
6,"Assembly symbols 9, features 200, CNN l3",0.8183891124262195
7,"Assembly symbols 9, features 200, Transformer l2",0.8047801952663035
8,"Assembly symbols 9, features 200, Transformer l3",0.8093481643427823
9,Full Assembly,0.8223804369520558
10,H-InceptionTime,0.8545687035563587
11,"Our Model symbols 5, features 200, CNN l2",0.7899836066162484
12,"Our Model symbols 5, features 200, CNN l3",0.7884364646830707
13,"Our Model symbols 5, features 200, Transformer l2",0.7745450975827195
14,"Our Model symbols 5, features 200, Transformer l3",0.7769976155749497
15,"Our Model symbols 9, features 200, CNN l2",0.7924803749446332
16,"Our Model symbols 9, features 200, CNN l3",0.7947764648336079
17,"Our Model symbols 9, features 200, Transformer l2",0.7727839896345744
18,"Our Model symbols 9, features 200, Transformer l3",0.7787867152550108
19,Random Forest,0.7967301322345867
20,Rotational Forest,0.8091306047321586
