,classifier_name,dataset_name,accuracy
0,Attention 1st-Order r.avg.,Adiac,0.6846547314578005
1,Attention 1st-Order r.avg.,ArrowHead,0.6902857142857143
2,Attention 1st-Order r.avg.,BME,0.9966666666666666
3,Attention 1st-Order r.avg.,Beef,0.8533333333333334
4,Attention 1st-Order r.avg.,CBF,0.9880555555555556
5,Attention 1st-Order r.avg.,Chinatown,0.9723032069970846
6,Attention 1st-Order r.avg.,ChlorineConcentration,0.2106640625
7,Attention 1st-Order r.avg.,Coffee,0.9821428571428572
8,Attention 1st-Order r.avg.,CricketY,0.4264102564102564
9,Attention 1st-Order r.avg.,DiatomSizeReduction,0.909640522875817
10,Attention 1st-Order r.avg.,DistalPhalanxOutlineAgeGroup,0.7082733812949641
11,Attention 1st-Order r.avg.,DistalPhalanxOutlineCorrect,0.427536231884058
12,Attention 1st-Order r.avg.,DistalPhalanxTW,0.6550359712230216
13,Attention 1st-Order r.avg.,ECG200,0.7689999999999999
14,Attention 1st-Order r.avg.,ECG5000,0.9460999999999999
15,Attention 1st-Order r.avg.,ECGFiveDays,0.8620209059233449
16,Attention 1st-Order r.avg.,FaceAll,0.4861538461538462
17,Attention 1st-Order r.avg.,FaceFour,0.7727272727272727
18,Attention 1st-Order r.avg.,FacesUCR,0.5823170731707317
19,Attention 1st-Order r.avg.,FiftyWords,0.3289010989010989
20,Attention 1st-Order r.avg.,Fish,0.7331428571428571
21,Attention 1st-Order r.avg.,FreezerRegularTrain,0.6411929824561403
22,Attention 1st-Order r.avg.,GunPoint,0.913
23,Attention 1st-Order r.avg.,GunPointAgeSpan,0.652373417721519
24,Attention 1st-Order r.avg.,GunPointMaleVersusFemale,0.9776898734177215
25,Attention 1st-Order r.avg.,GunPointOldVersusYoung,1.0
26,Attention 1st-Order r.avg.,Ham,0.5909523809523809
27,Attention 1st-Order r.avg.,ItalyPowerDemand,0.9293974732750243
28,Attention 1st-Order r.avg.,Lightning7,0.7630136986301369
29,Attention 1st-Order r.avg.,Meat,0.9333333333333333
30,Attention 1st-Order r.avg.,MedicalImages,0.5581578947368421
31,Attention 1st-Order r.avg.,MiddlePhalanxOutlineAgeGroup,0.6347402597402598
32,Attention 1st-Order r.avg.,MiddlePhalanxOutlineCorrect,0.4582474226804124
33,Attention 1st-Order r.avg.,MiddlePhalanxTW,0.7181818181818183
34,Attention 1st-Order r.avg.,MoteStrain,0.9101038338658147
35,Attention 1st-Order r.avg.,OSULeaf,0.6059917355371901
36,Attention 1st-Order r.avg.,PhalangesOutlinesCorrect,0.3145687645687646
37,Attention 1st-Order r.avg.,Plane,0.9885714285714287
38,Attention 1st-Order r.avg.,PowerCons,0.4866666666666667
39,Attention 1st-Order r.avg.,ProximalPhalanxOutlineAgeGroup,0.8470731707317074
40,Attention 1st-Order r.avg.,ProximalPhalanxOutlineCorrect,0.4266323024054983
41,Attention 1st-Order r.avg.,ProximalPhalanxTW,0.7629268292682927
42,Attention 1st-Order r.avg.,ShapeletSim,0.9888888888888889
43,Attention 1st-Order r.avg.,SmoothSubspace,0.7953333333333333
44,Attention 1st-Order r.avg.,SonyAIBORobotSurface2,0.9146904512067157
45,Attention 1st-Order r.avg.,Strawberry,0.7251351351351351
46,Attention 1st-Order r.avg.,SwedishLeaf,0.82928
47,Attention 1st-Order r.avg.,Symbols,0.8839698492462311
48,Attention 1st-Order r.avg.,SyntheticControl,0.9426666666666667
49,Attention 1st-Order r.avg.,ToeSegmentation1,0.7103070175438597
50,Attention 1st-Order r.avg.,ToeSegmentation2,0.9092307692307693
51,Attention 1st-Order r.avg.,Trace,0.9995
52,Attention 1st-Order r.avg.,TwoLeadECG,0.870017559262511
53,Attention 1st-Order r.avg.,TwoPatterns,0.62865
54,Attention 1st-Order r.avg.,UMD,0.9756944444444445
55,Attention 1st-Order r.avg.,Wine,0.712037037037037
56,Attention 1st-Order r.avg.,WordSynonyms,0.4452194357366771
57,Attention 1st-Order r.avg. (old),ArrowHead,0.8994285714285715
58,Attention 1st-Order r.avg. (old),BME,0.8119999999999999
59,Attention 1st-Order r.avg. (old),Beef,0.9733333333333333
60,Attention 1st-Order r.avg. (old),CBF,0.8108888888888887
61,Attention 1st-Order r.avg. (old),Chinatown,0.8944606413994171
62,Attention 1st-Order r.avg. (old),Coffee,0.8714285714285713
63,Attention 1st-Order r.avg. (old),DiatomSizeReduction,0.9385620915032679
64,Attention 1st-Order r.avg. (old),DistalPhalanxOutlineAgeGroup,0.7755395683453236
65,Attention 1st-Order r.avg. (old),DistalPhalanxOutlineCorrect,0.7362318840579712
66,Attention 1st-Order r.avg. (old),DistalPhalanxTW,0.5611510791366907
67,Attention 1st-Order r.avg. (old),ECG200,0.8379999999999997
68,Attention 1st-Order r.avg. (old),ECG5000,0.3789777777777778
69,Attention 1st-Order r.avg. (old),ECGFiveDays,0.8898954703832752
70,Attention 1st-Order r.avg. (old),FaceAll,0.2368047337278106
71,Attention 1st-Order r.avg. (old),FaceFour,0.8886363636363637
72,Attention 1st-Order r.avg. (old),FacesUCR,0.4818536585365853
73,Attention 1st-Order r.avg. (old),FreezerRegularTrain,0.9540350877192983
74,Attention 1st-Order r.avg. (old),GunPoint,0.916
75,Attention 1st-Order r.avg. (old),GunPointAgeSpan,0.9215189873417723
76,Attention 1st-Order r.avg. (old),GunPointMaleVersusFemale,0.6822784810126582
77,Attention 1st-Order r.avg. (old),GunPointOldVersusYoung,0.8139682539682539
78,Attention 1st-Order r.avg. (old),Ham,0.940952380952381
79,Attention 1st-Order r.avg. (old),ItalyPowerDemand,0.9026239067055392
80,Attention 1st-Order r.avg. (old),Lightning7,0.4739726027397259
81,Attention 1st-Order r.avg. (old),Meat,0.85
82,Attention 1st-Order r.avg. (old),MedicalImages,0.3621052631578947
83,Attention 1st-Order r.avg. (old),MiddlePhalanxOutlineAgeGroup,0.5532467532467533
84,Attention 1st-Order r.avg. (old),MiddlePhalanxOutlineCorrect,0.5360824742268042
85,Attention 1st-Order r.avg. (old),MiddlePhalanxTW,0.5714285714285714
86,Attention 1st-Order r.avg. (old),MoteStrain,0.8442492012779553
87,Attention 1st-Order r.avg. (old),PhalangesOutlinesCorrect,0.7902097902097903
88,Attention 1st-Order r.avg. (old),Plane,0.9523809523809524
89,Attention 1st-Order r.avg. (old),PowerCons,0.49222222222222217
90,Attention 1st-Order r.avg. (old),ProximalPhalanxOutlineAgeGroup,0.3248780487804878
91,Attention 1st-Order r.avg. (old),ProximalPhalanxOutlineCorrect,0.8109965635738833
92,Attention 1st-Order r.avg. (old),ProximalPhalanxTW,0.5814634146341463
93,Attention 1st-Order r.avg. (old),ShapeletSim,0.8333333333333334
94,Attention 1st-Order r.avg. (old),SmoothSubspace,0.8799999999999999
95,Attention 1st-Order r.avg. (old),SonyAIBORobotSurface2,0.918572927597062
96,Attention 1st-Order r.avg. (old),Strawberry,0.5654054054054054
97,Attention 1st-Order r.avg. (old),SwedishLeaf,0.45280000000000004
98,Attention 1st-Order r.avg. (old),Symbols,0.8938693467336684
