,classifier_name,dataset_name,accuracy
0,"Our Model symbols 5, features 200, Transformer l3",ACSF1,0.754
1,Random Forest,ACSF1,0.774
2,AdaBoost,ACSF1,0.22999999999999998
3,Rotational Forest,ACSF1,0.766
4,"Assembly symbols 5, features 200, Transformer l3",ACSF1,0.81
5,"Our Model symbols 5, features 200, Transformer l3",Adiac,0.7544757033248082
6,Random Forest,Adiac,0.7938618925831202
7,AdaBoost,Adiac,0.11355498721227622
8,Rotational Forest,Adiac,0.8046035805626598
9,"Assembly symbols 5, features 200, Transformer l3",Adiac,0.8005115089514067
10,"Our Model symbols 5, features 200, Transformer l3",ArrowHead,0.6845714285714287
11,Random Forest,ArrowHead,0.6891428571428572
12,AdaBoost,ArrowHead,0.6502857142857141
13,Rotational Forest,ArrowHead,0.6857142857142857
14,"Assembly symbols 5, features 200, Transformer l3",ArrowHead,0.7828571428571428
15,"Our Model symbols 5, features 200, Transformer l3",Beef,0.7533333333333333
16,Random Forest,Beef,0.7133333333333334
17,AdaBoost,Beef,0.5333333333333333
18,Rotational Forest,Beef,0.7533333333333333
19,"Assembly symbols 5, features 200, Transformer l3",Beef,0.7666666666666667
20,"Our Model symbols 5, features 200, Transformer l3",BeetleFly,0.76
21,Random Forest,BeetleFly,0.9400000000000001
22,AdaBoost,BeetleFly,0.8700000000000001
23,Rotational Forest,BeetleFly,0.8800000000000001
24,"Assembly symbols 5, features 200, Transformer l3",BeetleFly,0.95
25,"Our Model symbols 5, features 200, Transformer l3",BirdChicken,0.9200000000000002
26,Random Forest,BirdChicken,0.93
27,AdaBoost,BirdChicken,0.9
28,Rotational Forest,BirdChicken,0.9099999999999999
29,"Assembly symbols 5, features 200, Transformer l3",BirdChicken,1.0
30,"Our Model symbols 5, features 200, Transformer l3",BME,1.0
31,Random Forest,BME,1.0
32,AdaBoost,BME,0.9946666666666666
33,Rotational Forest,BME,1.0
34,"Assembly symbols 5, features 200, Transformer l3",BME,1.0
35,"Our Model symbols 5, features 200, Transformer l3",Car,0.8133333333333332
36,Random Forest,Car,0.8233333333333335
37,AdaBoost,Car,0.7133333333333333
38,Rotational Forest,Car,0.8333333333333333
39,"Assembly symbols 5, features 200, Transformer l3",Car,0.8166666666666667
40,"Our Model symbols 5, features 200, Transformer l3",CBF,0.9926666666666666
41,Random Forest,CBF,0.9813333333333334
42,AdaBoost,CBF,0.9108888888888889
43,Rotational Forest,CBF,0.9846666666666668
44,"Assembly symbols 5, features 200, Transformer l3",CBF,0.9955555555555555
45,"Our Model symbols 5, features 200, Transformer l3",Chinatown,0.9661807580174928
46,Random Forest,Chinatown,0.963265306122449
47,AdaBoost,Chinatown,0.9527696793002915
48,Rotational Forest,Chinatown,0.9685131195335277
49,"Assembly symbols 5, features 200, Transformer l3",Chinatown,0.9737609329446064
50,"Our Model symbols 5, features 200, Transformer l3",ChlorineConcentration,0.6075
51,Random Forest,ChlorineConcentration,0.6696354166666666
52,AdaBoost,ChlorineConcentration,0.5707812499999999
53,Rotational Forest,ChlorineConcentration,0.6916145833333334
54,"Assembly symbols 5, features 200, Transformer l3",ChlorineConcentration,0.6520833333333333
55,"Our Model symbols 5, features 200, Transformer l3",CinCECGTorso,0.9620289855072464
56,Random Forest,CinCECGTorso,0.9540579710144927
57,AdaBoost,CinCECGTorso,0.717536231884058
58,Rotational Forest,CinCECGTorso,0.9639130434782608
59,"Assembly symbols 5, features 200, Transformer l3",CinCECGTorso,0.9884057971014493
60,"Our Model symbols 5, features 200, Transformer l3",Coffee,0.9785714285714286
