,classifier_name,dataset_name,accuracy
0,LRP-full 2nd-Order  rMA (old),ArrowHead,0.6068571428571429
1,LRP-full 2nd-Order  rMA (old),BME,0.6759999999999999
2,LRP-full 2nd-Order  rMA (old),Beef,0.8400000000000001
3,LRP-full 2nd-Order  rMA (old),CBF,0.4351111111111111
4,LRP-full 2nd-Order  rMA (old),Chinatown,0.5620991253644314
5,LRP-full 2nd-Order  rMA (old),Coffee,0.7357142857142858
6,LRP-full 2nd-Order  rMA (old),DiatomSizeReduction,0.7686274509803921
7,LRP-full 2nd-Order  rMA (old),DistalPhalanxOutlineAgeGroup,0.3654676258992805
8,LRP-full 2nd-Order  rMA (old),DistalPhalanxOutlineCorrect,0.6601449275362319
9,LRP-full 2nd-Order  rMA (old),DistalPhalanxTW,0.41726618705035967
10,LRP-full 2nd-Order  rMA (old),ECG200,0.724
11,LRP-full 2nd-Order  rMA (old),ECG5000,0.1968
12,LRP-full 2nd-Order  rMA (old),ECGFiveDays,0.8285714285714285
13,LRP-full 2nd-Order  rMA (old),FaceAll,0.21834319526627216
14,LRP-full 2nd-Order  rMA (old),FaceFour,0.7159090909090909
15,LRP-full 2nd-Order  rMA (old),FacesUCR,0.2738536585365854
16,LRP-full 2nd-Order  rMA (old),FreezerRegularTrain,0.7484912280701754
17,LRP-full 2nd-Order  rMA (old),GunPoint,0.764
18,LRP-full 2nd-Order  rMA (old),GunPointAgeSpan,0.6835443037974684
19,LRP-full 2nd-Order  rMA (old),GunPointMaleVersusFemale,0.6240506329113924
20,LRP-full 2nd-Order  rMA (old),GunPointOldVersusYoung,0.593015873015873
21,LRP-full 2nd-Order  rMA (old),Ham,0.6495238095238095
22,LRP-full 2nd-Order  rMA (old),ItalyPowerDemand,0.7086491739552964
23,LRP-full 2nd-Order  rMA (old),Lightning7,0.2
24,LRP-full 2nd-Order  rMA (old),Meat,0.54
25,LRP-full 2nd-Order  rMA (old),MedicalImages,0.14342105263157895
26,LRP-full 2nd-Order  rMA (old),MiddlePhalanxOutlineAgeGroup,0.33246753246753247
27,LRP-full 2nd-Order  rMA (old),MiddlePhalanxOutlineCorrect,0.5285223367697595
28,LRP-full 2nd-Order  rMA (old),MiddlePhalanxTW,0.35324675324675325
29,LRP-full 2nd-Order  rMA (old),MoteStrain,0.8030351437699681
