,classifier_name,dataset_name,accuracy
0,Rollout 2nd-Order r.avg. (old),ArrowHead,0.8982857142857142
1,Rollout 2nd-Order r.avg. (old),BME,0.8933333333333333
2,Rollout 2nd-Order r.avg. (old),Beef,0.9800000000000001
3,Rollout 2nd-Order r.avg. (old),CBF,0.8317777777777777
4,Rollout 2nd-Order r.avg. (old),Chinatown,0.8588921282798834
5,Rollout 2nd-Order r.avg. (old),Coffee,0.8785714285714287
6,Rollout 2nd-Order r.avg. (old),DiatomSizeReduction,0.9209150326797386
7,Rollout 2nd-Order r.avg. (old),DistalPhalanxOutlineAgeGroup,0.7294964028776978
8,Rollout 2nd-Order r.avg. (old),DistalPhalanxOutlineCorrect,0.6659420289855073
9,Rollout 2nd-Order r.avg. (old),DistalPhalanxTW,0.7007194244604318
10,Rollout 2nd-Order r.avg. (old),ECG200,0.898
11,Rollout 2nd-Order r.avg. (old),ECG5000,0.6812888888888888
12,Rollout 2nd-Order r.avg. (old),ECGFiveDays,0.8973286875725901
13,Rollout 2nd-Order r.avg. (old),FaceAll,0.4505325443786982
14,Rollout 2nd-Order r.avg. (old),FaceFour,0.890909090909091
15,Rollout 2nd-Order r.avg. (old),FacesUCR,0.4788292682926829
16,Rollout 2nd-Order r.avg. (old),FreezerRegularTrain,0.9792982456140352
17,Rollout 2nd-Order r.avg. (old),GunPoint,0.9386666666666666
18,Rollout 2nd-Order r.avg. (old),GunPointAgeSpan,0.9455696202531645
19,Rollout 2nd-Order r.avg. (old),GunPointMaleVersusFemale,0.8063291139240507
20,Rollout 2nd-Order r.avg. (old),GunPointOldVersusYoung,0.8368253968253967
21,Rollout 2nd-Order r.avg. (old),Ham,0.9161904761904761
22,Rollout 2nd-Order r.avg. (old),ItalyPowerDemand,0.8983479105928085
23,Rollout 2nd-Order r.avg. (old),Lightning7,0.5780821917808219
24,Rollout 2nd-Order r.avg. (old),Meat,0.73
25,Rollout 2nd-Order r.avg. (old),MedicalImages,0.5418421052631579
26,Rollout 2nd-Order r.avg. (old),MiddlePhalanxOutlineAgeGroup,0.5571428571428572
27,Rollout 2nd-Order r.avg. (old),MiddlePhalanxOutlineCorrect,0.6982817869415807
28,Rollout 2nd-Order r.avg. (old),MiddlePhalanxTW,0.7272727272727273
29,Rollout 2nd-Order r.avg. (old),MoteStrain,0.8504792332268372
30,Rollout 2nd-Order r.avg. (old),PhalangesOutlinesCorrect,0.6687645687645688
31,Rollout 2nd-Order r.avg. (old),Plane,0.9180952380952381
32,Rollout 2nd-Order r.avg. (old),PowerCons,0.7333333333333334
33,Rollout 2nd-Order r.avg. (old),ProximalPhalanxOutlineAgeGroup,0.7121951219512195
34,Rollout 2nd-Order r.avg. (old),ProximalPhalanxOutlineCorrect,0.7024054982817869
35,Rollout 2nd-Order r.avg. (old),ProximalPhalanxTW,0.806829268292683
36,Rollout 2nd-Order r.avg. (old),ShapeletSim,0.8333333333333334
37,Rollout 2nd-Order r.avg. (old),SmoothSubspace,0.7866666666666666
38,Rollout 2nd-Order r.avg. (old),SonyAIBORobotSurface2,0.8977964323189926
39,Rollout 2nd-Order r.avg. (old),Strawberry,0.7556756756756757
40,Rollout 2nd-Order r.avg. (old),SwedishLeaf,0.56096
41,Rollout 2nd-Order r.avg. (old),Symbols,0.8868341708542713
42,Rollout 2nd-Order r.avg. (old),SyntheticControl,0.7040000000000001
43,Rollout 2nd-Order r.avg. (old),ToeSegmentation1,0.8140350877192983
